City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,26.18,80,20,6.69,US,1675716197
1,college,64.8569,-147.8028,-14.39,74,75,1.54,US,1675716198
2,krasnoselkup,65.7,82.4667,-20.71,99,99,2.11,RU,1675716199
3,sines,37.9562,-8.8698,12.38,83,2,2.34,PT,1675716199
4,madimba,-10.4,40.3333,27.62,83,75,4.63,TZ,1675716199
5,mehamn,71.0357,27.8492,3.97,81,75,15.43,NO,1675716200
6,fort nelson,58.8053,-122.7002,-9.47,64,40,1.34,CA,1675716200
7,hilo,19.7297,-155.09,25.16,96,100,1.34,US,1675716200
8,santa fe,-31.6333,-60.7,36.68,25,4,2.68,AR,1675715950
9,norman wells,65.282,-126.8329,-25.98,76,75,1.54,CA,1675716159
10,busselton,-33.65,115.3333,19.21,76,97,5.22,AU,1675715981
11,hobart,-42.8794,147.3294,14.03,73,20,1.03,AU,1675716201
12,jamestown,42.097,-79.2353,-0.2,93,100,2.06,US,1675715959
13,barrow,71.2906,-156.7887,-21.99,84,100,5.14,US,1675716201
14,cherskiy,68.75,161.3,-38.29,100,100,2.52,RU,1675716202
15,mount isa,-20.7333,139.5,24.87,94,75,3.09,AU,1675716202
16,yellowknife,62.456,-114.3525,-23.71,70,40,2.06,CA,1675716203
17,hermanus,-34.4187,19.2345,22.11,91,12,3.09,ZA,1675716203
18,torbay,47.6666,-52.7314,4.21,95,100,4.12,CA,1675716203
19,gravdal,68.1214,13.5031,7.94,100,75,4.12,NO,1675716204
20,rikitea,-23.1203,-134.9692,25.87,74,60,3.37,PF,1675716087
21,masterton,-40.9597,175.6575,19.38,67,7,1.58,NZ,1675716205
22,lere,10.387,8.5726,23.79,19,76,3.25,NG,1675716205
23,ngama,11.7833,17.1667,24.77,15,74,4.92,TD,1675716205
24,puerto ayora,-0.7393,-90.3518,29.98,88,51,5.36,EC,1675716206
25,los llanos de aridane,28.6585,-17.9182,14.86,70,20,7.72,ES,1675716206
26,aykhal,66.0,111.5,-36.51,100,99,1.68,RU,1675716206
27,ushuaia,-54.8,-68.3,12.81,67,75,7.2,AR,1675716207
28,vaini,-21.2,-175.2,26.35,73,100,2.1,TO,1675716207
29,montepuez,-13.1256,38.9997,20.86,96,100,2.58,MZ,1675716208
30,albany,42.6001,-73.9662,2.72,71,88,0.45,US,1675716012
31,palmer,42.1584,-72.3287,6.8,58,100,10.8,US,1675716208
32,khandyga,62.6667,135.6,-40.02,100,100,0.3,RU,1675716208
33,talnakh,69.4865,88.3972,-23.22,99,100,2.32,RU,1675716209
34,airai,-8.9266,125.4092,15.47,91,74,0.92,TL,1675716126
35,penzance,50.1186,-5.5371,4.38,73,12,4.28,GB,1675716209
36,avarua,-21.2078,-159.775,29.03,84,97,4.12,CK,1675716210
37,atuona,-9.8,-139.0333,25.61,76,5,6.54,PF,1675716210
38,upernavik,72.7868,-56.1549,-23.18,94,100,3.47,GL,1675716210
39,punta arenas,-53.15,-70.9167,17.06,51,75,11.32,CL,1675716211
40,bredasdorp,-34.5322,20.0403,21.66,87,92,2.13,ZA,1675716211
41,akdepe,42.0551,59.3788,1.05,58,80,5.52,TM,1675716211
42,storm lake,42.6411,-95.2097,1.91,93,100,5.14,US,1675716027
43,cidreira,-30.1811,-50.2056,25.56,65,12,3.86,BR,1675716211
44,nalut,30.3333,10.85,11.27,49,96,4.39,LY,1675716212
45,touros,-5.1989,-35.4608,26.7,78,7,5.77,BR,1675716212
46,chapais,49.7834,-74.8492,-15.12,82,31,1.9,CA,1675716212
47,deputatskiy,69.3,139.9,-34.37,98,100,1.83,RU,1675716213
48,kolyvan,55.3053,82.7391,-10.21,97,100,0.94,RU,1675716214
49,kysyl-syr,63.8986,122.7617,-40.5,100,97,0.27,RU,1675716214
50,tuktoyaktuk,69.4541,-133.0374,-39.0,67,75,2.06,CA,1675716214
51,severo-kurilsk,50.6789,156.125,-4.16,71,100,11.3,RU,1675715938
52,jardim,-21.4803,-56.1381,23.78,89,91,2.38,BR,1675716215
53,mackay,-21.15,149.2,25.93,84,35,7.19,AU,1675716215
54,east london,-33.0153,27.9116,24.24,84,1,8.11,ZA,1675715969
55,beyneu,45.3167,55.2,1.78,84,100,7.62,KZ,1675716215
56,port alfred,-33.5906,26.891,23.73,91,100,0.69,ZA,1675716216
57,sao raimundo das mangabeiras,-7.0219,-45.4811,27.36,69,100,2.42,BR,1675716216
58,lavrentiya,65.5833,-171.0,-26.33,89,100,1.88,RU,1675716002
